,C3,Cfb,Mx1,Ggta1,RT1-S3,Serping1,Cd109,Emp1,S100a10,Cxcl10,Lcn2,Vim
C-1,100.7238807,97.57620744,105.3916212,103.0769748,91.1740432,120.7536446,104.0544037,99.75581098,99.02685519,114.3480194,102.796707,100.8849034
C-2,99.27872865,102.4032499,94.64532069,96.94294219,108.7583245,79.39628916,95.97270256,100.239678,100.9632721,85.75479921,97.22114861,99.11889028
C-3,99.98302896,96.85850769,104.6164369,102.3188154,90.50343312,119.8654685,103.289055,99.02207965,98.29848553,113.5069584,102.040609,100.1428673
C-4,100.0143617,103.162035,95.34662122,97.66126757,109.5641992,79.98459779,96.68383869,100.9824314,101.7113872,86.39022298,97.94153544,99.85333896
H-1,3622.376785,241.7758246,4705.825081,402.9372592,415.6491242,2947.762823,171.0548663,389.5036839,214.9854313,15085.03506,8730.586755,750.4116113
H-2,4136.705072,247.7376078,4911.980792,433.2294529,408.632866,3091.207629,186.3027634,349.6495351,217.4095209,18339.83054,8231.633293,745.0428182
H-3,3677.448626,245.451599,4777.36884,409.0632086,421.9683351,2992.578351,173.6554534,395.4253995,218.253905,15314.37638,8863.319907,761.8202945
H-4,4074.75561,244.0275992,4838.421143,426.7416005,402.5133612,3044.915073,183.5127757,344.4133385,214.1536922,18065.18136,8108.359999,733.885387
H+P-1,5932.094947,268.0071569,5957.886779,587.0331398,307.2833153,4243.226691,261.0548471,580.3717289,253.1965999,11818.54152,15442.39796,1156.282005
H+P-2,7122.15905,254.0962105,6243.220117,598.1800131,352.0970006,4572.581769,339.1869007,647.0715889,268.6799096,11474.9025,16935.47916,1199.39735
H+P-3,6457.920879,291.7635388,6485.998921,639.0682557,334.5211692,4619.349907,284.1949704,631.8163716,275.6401615,12866.14708,16811.22523,1258.775823
H+P-4,6542.248582,233.4068309,5734.875853,549.4741573,323.4280626,4200.266575,311.569147,594.3848144,246.8030755,10540.57682,15556.53472,1101.738329
H+37-1,4699.952418,303.9315014,2447.879825,545.567487,275.4589664,3841.008077,404.5918774,447.6070716,287.4608346,1138.858966,8231.80742,1930.175511
H+37-2,4815.335977,234.3582683,2085.562381,488.2127143,261.1094468,3695.934504,278.6024317,397.5888149,254.7178791,1151.92261,7685.380813,1664.204154
H+37-3,4380.122193,283.2490621,2281.302403,508.441798,256.7140738,3579.628734,377.0595324,417.1475568,267.8992188,1061.359986,7671.635617,1798.827699
H+37-4,5166.944887,251.4707721,2237.847147,523.8613048,280.1752832,3965.806327,298.9455807,426.6201785,273.3170124,1236.034343,8246.55627,1785.721949
H+P+37-1,3270.138416,102.5089044,1335.856352,320.4305493,158.2511345,2470.972668,141.4633628,277.2055762,171.0310242,1944.49282,2221.902326,465.9226927
H+P+37-2,4022.536301,134.5652948,1501.58394,368.2442165,175.7810423,2797.239171,205.7530539,275.5886096,191.6671156,2025.563553,2571.467204,580.3971531
H+P+37-3,3870.652524,121.3331973,1581.167249,379.2730327,187.31169,2924.731427,167.4410843,328.1104121,202.4384235,2301.571091,2629.922882,551.4827255
H+P+37-4,3398.458117,113.6881023,1268.620032,311.1128037,148.5094143,2363.260255,173.8314048,232.8322921,161.9308357,1711.306594,2172.51578,490.3511785
P-1,95.3522273,200.6573271,189.7391303,145.0362111,145.9456077,155.6476066,46.30205147,222.3313429,81.38998616,340.7510831,295.7010666,141.5270072
P-2,90.264302,188.0919085,175.84132,146.0543091,116.0137655,130.5491146,19.89497818,121.9811918,68.41928729,275.4451027,202.5889832,137.14278
P-3,82.31547904,173.2230539,163.7976149,125.2065686,125.9916307,134.3671529,39.97154189,191.9337546,70.26218359,294.1629098,255.2722221,122.1771502
P-4,104.5599484,217.8810427,203.6902622,169.1857211,134.3874939,151.224885,23.04585363,141.3000139,79.25522039,319.0688355,234.6740977,158.8628248
Jan-37,289.9426946,140.3453287,254.0942809,158.8683095,95.85999296,229.9355781,97.1420164,129.5661746,74.64876186,225.7440343,277.9530473,219.3510155
Feb-37,311.4727671,165.0134441,247.3289475,187.9815504,119.9922323,305.9664401,107.0896491,113.4096046,72.15748538,265.5003601,316.682133,221.6258761
Mar-37,323.2860477,156.485014,283.3150735,177.138134,106.8838734,256.3781246,108.3133293,144.4662593,83.23335487,251.7045541,309.9175933,244.5763394
Apr-37,279.3478222,147.9941462,221.8197228,168.5933483,107.6163707,274.4094115,96.04454518,101.7126677,64.71524488,238.1169567,284.0199001,198.7676368
P+37-1,127.648781,85.32654067,137.9146697,131.2220063,99.10905733,206.5455267,109.8151985,86.64838662,102.091975,224.5732763,144.1363713,152.7105275
P+37-2,118.3826021,91.76187808,108.1923247,119.3030554,105.8313967,191.8692108,92.80817244,108.417927,101.0694451,228.1814093,149.1602758,132.9449776
P+37-3,121.2423947,81.04420619,130.9930631,124.6362884,94.13501139,196.179502,104.303837,82.29971186,96.96822356,213.302482,136.9025124,145.0463523
P+37-4,124.6378784,96.61052887,113.9091519,125.6069679,111.4234737,202.007482,97.71210889,114.1466749,106.409903,240.2383985,157.0418286,139.9697224
